Emotion,Sentence
Happy,সবচেয়ে প্রিয় স্থান এভার !! আমি এটা ভালোবাসি !!! শহরের সেরা হাক্কা খাবার! Ï¿½Hakka Dhaka Ï¿½
Happy,আপনার উত্তরা হাক্কা ঢাকার আউটলেটে অত্যন্ত ভালো খাবারের মান
Happy,"খাবারটি সত্যিই মজাদার, দামের মান পর্যাপ্ত"
Happy,"ভালো খাবার, ভালো স্থান ... কিন্তু বসার ব্যবস্থা আরও ভাল হতে পারে"
Happy,"অতিরিক্ত তীক্ষ্ণ মসলা এবং তিক্ত একটি প্ল্যাটারে ... হ্যাঁ, আহারটি সুন্দর ... তাকলে সুপারিশ করা হয় ..."
Happy,পরিবেশ এবং শ্রমিকদের আচরণটি অসাধারণ। কিন্তু সেবা একটু ধীর এবং খাদ্যটি আস্তে আস্তে।
Sad,এক কথায় টাকা উসুল খাবার .... হাক্কা ঢাকা ব্যানার টা আরো বড় করে লেখা দরকার ....
Happy,ভালো খাবার! ভালো সেবা! হাক্কা খাবার ভালবাসি
Fearful,"সার্ভিস খারাপ, প্রমোশনাল অফারগুলি যথায়গিতভাবে তৈরি করা উচিত, এবং সার্ভার এবং ম্যানেজাররা যখন তারা ভুল পক্ষে থাকেন তখনও বিনয়ে থাকতে শিখতে হবে ... তবে আমি অন্য দিনে যাবো বা অনলাইনে অর্ডার দেবো আরও আইটেমগুলির স্বাদ পেতে ..."
Happy,"খাবার অসাধারণ, সেবা দারুণ, আমরা হাক্কা ঢাকা খাবারকে ভালবাসি"
Happy,"সুস্বাদু খাবার, অসাধারণ সেবা, ভালোবাসি এটা।"
Happy,"ভালো খাবার, ভালো পরিমাণ, ভাল আচরণ। ভালোবাসনীয় পরিবেশ, যোগ্য।"
Angry,অসাধারণ খাবার... কিন্তু সেবা উন্নত করা উচিত!!!
Happy,তাদের খাবার ভালো লাগে... তাদের সেবা কিছুটা ধীর কিন্তু তারা আমাদেরকে কমপক্ষে প্রমাণিত পানীয় দেয়...
Happy,আপনার খাবার খেতে খুব ভালো একটা স্থান। স্বাদ স্বাদু ছিল। সেবা ভালো ছিল। সর্বমোটে ৫ স্টার।
Disgust,আপনাকে একটা বড় স্পেকস এবং সাজ-সজ্জা করার দরকার। গ্রাহক সেবা খুব গ্রুমিং।
Happy,খাবারটা খুবই ভালো ছিল... স্পেশালি আমার মতে যারা অসাধারণ চায়নিজ খাবার পছন্দ করে। কিন্তু তাদের সেবা ততটা প্রভাবশালী ছিল না... সাধারণতই একটা পরামর্শযোগ্য স্থান...
Happy,"এটা আমাদের প্রথম বার না, আমি তাদের সেবা ভালো লাগে, এবং খাবার চমৎকার টেস্ট করে... :)"
Surprise,খাবারটা সত্যিই খুব বিস্ময়কর। খাসগুলি ছিল খুব তাজা... আমি খুব আনন্দিত যে তারা আমাকে অনেক প্রাথমিকতা দিয়েছে। হাককা ঢাকা ধানমন্ডি ব্রাঞ্চের আপনাদের অনেক অনেক ধন্যবাদ.. ইনশাআল্লাহ শীঘ্রই আবার দেখা হবে।
Happy,"আমরা একটা অতিরিক্ত মিনারেল ওয়াটার অর্ডার করেছিলাম, যা তারা প্ল্যাটার পরিশোধ করার সময় নিঃশুল্ক দিয়েছিল। সাধারণত হাককা ঢাকার সঙ্গে খুবই অসাধারণ অভিজ্ঞতা ছিল। আবার ভিজিট করতে আশা করি।"
Happy,"ভালো খাবার। সুস্বাদু খাবার, অসাধারণ আচরণ।"
Angry,সু দি শেফ... সর্বনিম্ন খাবার।
Happy,খাদ্যগুলি সত্যিই ভাল... স্বাদযুক্ত... ভালো সেবা... সুন্দর সাজ-সজ্জা... সেখানে যাওয়ার জন্য খুশি...
Happy,স্থানটি ভালো ছিল... খাদ্যও সুস্বাদু... কিন্তু কুলফি সবচেয়ে ভালো... আমি সবচেয়ে কুলফি ভালোবাসি।
Happy,"আমি তাদের খাদ্যগুলি ভালোবাসি... সুস্বাদু এবং শ্রেষ্ঠ... বারবার যাবো... হাককা, তোমাকে ভালোবাসি।"
Disgust,"বিফ নুডল ছাড়াও, উইংস এবং চিংড়িগুলি তাদের পূর্ববর্তী গুণমানের তুলনায় খারাপ ছিল।"
Happy,হাককা চায়নিজের আসল স্বাদ। পরিমাণের সাথে ভালো ছিল।
Surprise,অসামান্য খাবার
Happy,খুব ভাল ছিল! চাইনিজ ফ্যান হলে যেতে পারেন এখানে।
Happy,অসাধারণ খাবার... প্রিয়ে যেতে লাগবে... আমার একটা পছন্দ।
Happy,তাদের খাবার এবং বাতাস ভালোবাসি
Happy,"সেরা হাক্কা চায়নিজ এখানে রয়েছে, সবকিছু সুস্বাদু এবং মুখগুলি মতিয়ে বাণিজ্যের সেবা খুব ভাল।"
Happy,"ভালো খাবার শান্তিপূর্ণ পরিবেশের সঙ্গে :) খাবারও অপরিসীমিত। আগে আরেকটা রেস্টুরেন্টে হাক্কা খেয়েছি, কিন্তু নিশ্চিতভাবে এটা ভালো।"
Happy,খাদ্যগুলি অবিশ্বাস্য... কিন্তু নমকের কিছুটা অভাবও ছিল... মমো তা তেমন ভালো ছিল না কিন্তু অন্যান্য আইটেমগুলি খুব সুস্বাদু ছিল।
Happy,একটা দুর্দান্ত স্থান হলো মিঠাই। এখানে আমি খুব ভালো সময় পেয়েছি!! খাদ্য গুণমানের ও পরিমাণের দিক থেকে অসাধারণ ছিল। সমস্তকিছুই একটা মজার অভিজ্ঞতা ছিল
Happy,সুস্বাদু খাদ্য... :) সুন্দর পরিবেশ! ভাল সেবা!!
Happy,তারা ভালো খাবার তৈরি করেন। হাক্কা নুডলস খুব সুস্বাদু। ভালো সেবা।
Happy,হালকা ঢাকা সর্বদা আমার প্রিয়। অসাধারণ খাবার। এবং আজ তাদের সেবা দ্বারা আমি সুপার প্রভাবিত হয়েছি। খাদ্যে একটা সমস্যা ছিল এবং ম্যানেজার তা সত্যিই উত্তেজনায় পরিবর্তন করলেন। সেটার মধ্যে আমরা নিঃশুল্ক কুলফি পেয়েছি :) হালকা ঢাকা এভাবে অসাধারণ সেবা দিয়েছে। অভিজ্ঞতা অসাধারণ। নিশ্চিতভাবে আবার আসবো।
Surprise,বিশেষ স্বাদ Ï¿½Ï¿½ স্বাদের বর্ণনা করার জন্য শব্দ কম!
Happy,অসাধারণ খাদ্য এবং সেবাও খুব ভালো ছিল!! ভালোবাসি।
Happy,"তাদের খাদ্য দারুণ মজাদার ছিল, যার পরিমাণও সন্তোষজনক... টাকার মানযোগ্য।"
Happy,প্ল্যাটার এ খাবার ছিল সত্যিই সুস্বাদু।
Happy,"আলহামদুলিল্লাহ, সুস্বাদু খাদ্য। তীক্ষ্ণতা প্রেমিদের জন্য একটি প্রয়োজনীয় চেষ্টা।"
Happy,বিভিন্ন খাদ্য টেস্ট করতে চাইলে একটি মহান স্থান! :D
Happy,খাদ্যটি খুব অসাধারণ :) স্বাদটি খুব পছন্দ হয়েছে <3
Happy,মিরপুর শাখা অথবা মিরপুরে ডেলিভারির জন্য অপেক্ষা করছি।
Happy,হাককা ঢাকা বাংলাদেশে সবচেয়ে জনপ্রিয় হাককা চায়নিজ। সমস্ত খাদ্য আরো স্বাদপূর্ণ এবং তীক্ষ্ণ।
Happy,"গতকাল পরিবারের সঙ্গে ডিনার করলাম, অসাধারণ খাদ্য, খুবই স্বাদিষ্ট। এবং খুব দ্রুত সার্ভিস। ইফতারের আইটেম ৪,০০০ টাকা পরিশোধ করেছিলাম চার জনের জন্য। আমরা খুব খুশি।"
Happy,খাদ্য ভালো ছিল।
Happy,অসাধারণ কর্মীদের সহ অসাধারণ খাদ্য! আবার আসবো.....
Happy,আদর্শ স্বাদু এবং দারুণ পরিমাণ। আমি স্থানটি খুব পছন্দ করি।
Happy,"সুস্বাদু খাদ্য, অসাধারণ স্বাদ এবং সুন্দর সেবা, সর্বদা!!"
Happy,খাদ্য সুস্বাদু। সেবা ভাল। আবার যাওয়া এবং খাদ্য পরীক্ষা করতে চাই।
Happy,দশ মধ্যে দশ ভালো খাবার খেয়েছিলেন উত্তরায় চলে আসবেন... খুব ভাল।
Happy,আমি তাদের খাদ্য এবং পরিবেশনা দিয়ে খুব সন্তুষ্ট। আমি তাদের মধ্যে কোনও একজনও নই। আমি শুধুমাত্র তাদের খাদ্যটি খুবই পছন্দ করি। থাম্বস আপ।
Happy,"ভালো খাদ্য, ভালো সেবা এবং ভালো পরিবেশ... চলতে থাকুন।"
Happy,"অসাধারণ খাদ্য, আমি সেটা খুব পছন্দ করলাম! আবার আসতে প্রিয়।"
Happy,"তারা শহরের সেরা চায়নিজ খাবার ছিল। পরিবেশ সুন্দর, আরো আরো তাদের খাবারগুলির মধ্যে চিকেন হাক্কা নুডলস সেরা ছিল...!!! এমন চালিয়ে যাওয়া থাকুন..."
Happy,খাদ্যটি অসাধারণ ছিল... তবে তাদের সেবার সাথে আমরা অত্যন্ত সন্তুষ্টি পেয়েছি...
Happy,সেবা ভালো লাগেনি। খাবার ভালো ছিল। হাক্কা নুডলস তাই ভাললাগসে... চিকেন উইংসে মশলা বেশি।
Happy,গতকাল এই জায়গায় গিয়েছিলাম। সামগ্রিকভাবে খুবই ভাল ছিল। কেবল ড্রাই বিফটা খুব তেলমিশ্রিত ছিল।
Disgust,গতকাল যাওয়া হয়েছিলো.... ফালতু খাবারের মান... ভাতের মধ্যে চুল.. সাঁতার... যককক... তু... পুরোপুরি টাকা এবং সময় হারি...
Happy,অসাধারণ খাদ্য। সম্পূর্ণ মূল্যসহ। অসাধারণ সেবা। কোনও অভিযোগের সীমা নেই।
Happy,ভালো খাদ্য। আমি খুব পছন্দ করলাম।
Happy,"খাদ্যটি খুব পছন্দ হয়েছিল। দামে সবকিছু ভ্যাট সহ ছিল, তাই আপনি পরিমাণের সঠিক পরিমাণ জানতে পারেন। নির্দিষ্টভাবে টাকা মূল্যবান।"
Happy,আমি তাদের খাদ্যে পূর্ণতয়া সন্তুষ্ট। পুনঃপুনঃ যাত্রা করতে চাই।
Happy,"ভালো খাদ্য, সুন্দর পরিবেশ। সুপারিশ? অবশ্যই।"
Happy,"পারিবারিক বা ডেটের জন্য যেতে যাওয়ার জন্য সেরা স্থানগুলোর মধ্যে একটি। খাদ্য এবং পরিবেশটি ভালোবাসি। ভাল ডিল, নিশ্চিতভাবে আবার তার জন্য যাবো!"
Happy,"ভালো খাদ্য, মানসম্মত চায়নিজ রন্ধনশৈলী, ভালো স্থান, ভালো জীবন! :D"
Happy,এইচডি-র বাঁধা চিংড়ি আমার পছন্দ
Happy,স্বাদ ভালো এবং সেবার মান আনন্দদায়ক...
Happy,"মজাদার খাদ্য, সামর্থ্যমতো মূল্য এবং উপরে সবচেয়ে অদ্ভুত সেবা... আমি এই জায়গায় পুনরায় যাওয়া ভালবাসব।"
Happy,উদ্ঘাটন দিনে সেখানে গিয়েছিলাম। স্টাফগুলি সহায়কভাবে সহযোগী ছিলেন এবং সাধারণত খাদ্যটি অসাধারণ ছিল।
Happy,ভালো লাগে... কোনও বিনামূল্যে প্ল্যাটার জিততে চায়... নেমকে এবং খাদ্যের মানটি ভালবাসি। অসাধারণ আতিথেয়তা এবং ভালো পরিবেশ
Happy,খাদ্যটি যথেষ্ট মূল্যবান এবং মালিক সুন্দর একটি ব্যক্তি।
Happy,"এটা অসাধারণ। খাদ্যগুলি খুব স্বাদযুক্ত। আমি এটা খুবই পছন্দ করি। আমি আমার বাড়িতে সব আইটেম খেয়েছি, তাই এখানে যেতে এবং খাবার উপভোগ করতে ভালবাসি ^_^"
Happy,হাক্কা ঢাকা চায়নিজের সেরা বাড়ি। হাক্কা ঢাকা ভালোবাসি।
Happy,প্রতিষ্ঠানটির সহজ খাবারের সাথে মজাদার এবং তীক্ষ্ণ স্বাদ! আমি এটা পছন্দ করেছি।
Happy,সুপার সুস্বাদু খাদ্য আরও আসতে চাই.....
Happy,"দারুণ ও মূল্যের প্ল্যাটার। পাকস্থলে বাঁধা চিংড়ি, গরম স্যুপ এবং স্কুইডের প্রচন্ড ভালবাসতে পারি। এমনকি এটা আরো ভাড়া উপার্জনের জন্য উত্কৃষ্ট ছিল।"
Happy,খাবারটি ভালো লাগলো... অন্যের থেকে আলাদা... বিশেষতঃ প্ল্যাটারগুলো।
Happy,খাবারটি খুব সুস্বাদু ছিল। আমার অপেক্ষার চেয়ে এটি অনেকটা তীক্ষ্ণ ছিল। অসাধারণ অভিজ্ঞতা ছিল।
Happy,খাবারগুলো খুব ভালো। খাবারের গুণমান ও পরিমাণ ভালো এবং রেস্তোডের পাশের দিকটি সহজেই আকর্ষণীয়। তাই আপনি খাবার উপভোগ করতে পারেন একটি খোলা বাতাসের সঙ্গে।
Happy,খুব ভালো পরিবেশ এবং খুব সুস্বাদু খাবার। এই অভিজ্ঞতা চালিয়ে যাওয়ার পরিমান ভালো ছিল।
Disgust,খাবারটি প্রত্যাশার নীচে ছিল... খুবই তীক্ষ্ণ এবং সাধারণ... খুব নিরাপদ হয়েছিলাম।
Happy,অত্যন্ত ভালো স্বাদ। আবার যেখানে যেতে পারেন। চিলি ক্র্যাব তাত্ক্ষণিকভাবে ভালো না। অতিরিক্ত মসলা। তাই সেটা এড়িয়ে দিন।
Happy,মনোরম ছিল। স্বাদের খাবার এবং পরিষেবা উভয়ই ভালো ছিল। ইনশা-আল্লাহ আমরা আবার আসবো।
Happy,খাবারটি অসাধারণ ছিল এবং তীক্ষ্ণ... আমি সব আইটেম ভালোবাসি... খাবারের পরিমাণও ভালো ছিল... ইনশা আল্লাহ আবার দেখা হবে।
Happy,লাঞ্চ বক্স চেষ্টা করার পরে আমার ৪ স্টার পর্যালোচনা ৫ স্টারে পরিবর্তন হয়েছে। সেরা!! আমি মাশরুম চিকেন হয়ে আদ্যভাগে প্রবণ।
Happy,"ভাল সাজানো, সুন্দর পরিবেশ এবং ভালো খাবার।"
Happy,খাবার ভালো ছিল এবং অপ্টিমাম। পরিবেশটি কিছু বিশেষ না। খাবারের ছাড়াও সবকিছু ঠিকঠাক। কিছু আরামদায়ক অনুভূতির জন্য অভ্যন্তরীণ পরিবেশে একটু শান্তির স্পর্শ থাকতে পারে।
Happy,ভালোবাসলাম... ভালো খাবার... বিভিন্ন স্বাদ... মসলা ভালোবাসার জন্য ভালো
Sad,"আজ আমি আমার পরিবারের সঙ্গে সেখানে গিয়েছিলাম। খাবারটি অসাধারণ ছিল, কিন্তু দুঃখের ব্যাপার হল সেবাটি খারাপ ছিল। আপনারা আরো ওয়েটার নিয়োগ করতে হবে।"
Happy,সব খাবার সুস্বাদু ছিল। কেবল বন্ধ রাখলে সব সময় 4 টা থেকে 6:30 টা।
Happy,"মেগা প্ল্যাটারে সবগুলি অসাধারণ ছিল, তবে তীক্ষ্ণতা স্তর। কিন্তু যদি সেটা নিয়ন্ত্রিত হয়, নিশ্চিতভাবে প্রশংসা পাওয়া হবে। কিন্তু সর্বশেষে, ভাল।"
Disgust,খাদ্যগুলি অত্যাধিক তীক্ষ্ণ এবং তেলেগুলি এবং অতিরিক্তভাবে মূল্যবান। কিছু পরিবর্তন রয়েছে যা সার্ভিসকর্মীদের আচরণে সমস্যা তুলে।
Happy,ভালো খাদ্য এবং হাসিমুখের সেবা। তারপরেও হক্কা খাদ্য আমাকে সার্ভ করা থেকে বেশি গরম।
Happy,খাবারটি ভালোবাসলাম... মূল্যের সাথে পূর্ণতার যথাযথ!
Happy,"অসাধারণ খাবার, গুণমান, পরিমাণ, মূল্য, আন্তর্জাল, সেবা, সবকিছু অর্থমত টাকা যোগ্য। আরো বেশি হয়ে যায়। অনুপ্রাণিত করছি।"
Happy,"আমার মতে খাবারের স্বাদ, গুণমান, পরিমাণ, তাদের সেবা এবং আচরণ, পরিবেশ, সবকিছু খুব ভালো।"
Angry,খাবারটি একটুও ভালো নয়!!!
Happy,অসাধারণ খাবার সাথে যোগ্য মূল্য। সেবা ওয়েও আস্থানিক।
Happy,স্বাদযুক্ত খাবার সঙ্গে সুন্দর সেবা  আসলে আশা করা চেয়ে বেশি পাওয়া যায় :D
Happy,"মজার খাবার, মধুর আতিথেদের সাথে উপভোগের জন্য মহান স্থান... সাধারণতঃ জোশ।"
Happy,খুব ভালো খাবার।
Happy,"অসাধারণ খাবার, ভদ্রময় হোস্ট এবং ভালো সেবা। সবাইকে এই স্থানটি সুপারিশ করব।"
Happy,অসাধারণ স্থান! তীক্ষ্ণ খাবারের জন্য সেরা স্থানের মধ্যে একটি। বাঁধ প্রশংসিত প্রওণ এবং মঙ্গোলিয়ান মাংসের খাবারটি ভালোবাসি!!!
Happy,তাদের খাবারে প্রেমে পড়েছি। অসাধারণ খাবার। আবার আবার যেতে ইচ্ছুক <3
Happy,এই জায়গাটি অসাধারণতা দিয়ে পূর্ণ। প্ল্যাটারটি খুব ভালো। খাবারের পরিমাণ ও গুণমানের সাথে খুব সন্তুষ্ট। পরবর্তী সপ্তাহে আবার আসার আশা।
Happy,আহ! ধন্যবাদ হাক্কা ঢাকা। সেহরির জন্য খুব ভালো খাবার খেয়েছি! :D আপনাদের ভালো আচরণ এবং সেবায় আশ্চর্য পাই।
Happy,ভালো খাবার যুক্ত অনন্য স্বাদের; মূল্যের জন্য বিশাল পরিমাণ; পাঁচালি চিংড়ি এবং ড্রাই চিলি বিফ সেরা প্রতিটির জন্য।
Happy,খাবারটি খুব ভালো ছিল... পছন্দ করেছি... আরো আপনাদের কাছে আসতে ইচ্ছুক...
Disgust,খাবার খুব খারাপ... অপ্রয়োজনীয় দামের সাথে খুব কম পরিমাণ... শুধুই যখনি যখনি
Happy,ভালো খাবারটি সত্যিই মজার। স্বাদ এবং পরিমাণ উভয়ই ভালো।
Happy,আমি শুধুই তোমার হাক্কা ঢাকার প্রতিটি খাবার ভালোবাসি। অনুগ্রহ করে বেলিয়ারোডে শাখা খুলতে চেষ্টা করুন।
Happy,"দুইটি জিনিস............... সবচেয়ে দ্রুত প্রতিক্রিয়া, অনন্য স্বাদ এবং একটি ভালো দাম অবশ্যই আশ্চর্যজনক সেবা অনুযায়ী!! এমন থাকুন!!"
Happy,"জায়গাটি ছোট, কিন্তু ব্যাপারটা কোনো ব্যবধান নেই.......... খাবারটি অসাধারণ!! :D"
Happy,খাবারটি নিশ্চিত ভাবে ভালো লাগছে  উত্তরা শাখাটি শীঘ্রই ভিজিট করবো আশা করি
Happy,আগেও বলেছিলাম এবং আবার বলছি........ অসাধারণ...!!!!!!! :P :P :D
Happy,অওওওওওওওওওওওওম! সুস্বাদু খাবার ....... এবং সেবা!
Happy,আমি হাক্কা ঢাকা ভালোবাসি
Happy,অসাধারণ খাবার। ..এর উপভোগ করেছি। একটি অবশ্যই যাওয়া রেস্টুরেন্ট।
Happy,আমেজিং খাবার! এই পৃথিবীর বাইরের সার্ভিস! আমি নিশ্চিতভাবে এখানে আবার ফিরে আসব! :D
Happy,"ভালো খাবার, মিত্রপক্ষী কর্মীদের। নিশ্চিতভাবে আবার দেখা হবে।"
Happy,স্বাদে এবং ফ্লেভারে খাবারগুলি আলাদা। আমি একটি খোলা মতভেদ দিতে বলতে চাই খুব ভালো।
Happy,"অসাধারণ সেবা, স্বাদে খাবার এবং আকর্ষণীয় পরিবেশ  আশা করছি আপনারা আরেকটি শাখা খুলেন ঢাকার গভীরে (যেমন ধানমন্ডি  (Y) (Y) (Y)"
Happy,"অসাধারণ চাইনিজ খাবার, এটি নিশ্চিতভাবে ঢাকার পরবর্তী বড় চাইনিজ যুক্তবর্গ হবে যা মানুষের জিবনকে ক্ষতি করবে না!"
Happy,সন্তুষ্টি নিশ্চিত . আমি নিশ্চিত যে রেস্টুরেন্ট আপনার স্বাদ পূর্ণ করতে ব্যর্থ হবে না।
Happy,আমি লন্ডনে প্রতি সপ্তাহে প্রশংসিত মুড়ি সহ চিংড়ির সবজি ডেলিভারির জন্য একটি স্থায়ী অর্ডার দিতে পারি কি? ধন্যবাদ।
Happy,অসাধারণ সেবা সহ খুব ভালো খাবার। মঙ্গোলিয়ান বিফ বেশ তীক্ষ্ণ এবং লসুনের সঙ্গে পূর্ণ।
Happy,"আজ রাতে এখানে খাওয়ার পরিয়াল। অসাধারণ খাবার, সুন্দর পরিবেশ এবং আদর্শ আতিথ্যবানিতা  খুব শীঘ্রই আবার দেখার পরিকল্পনা করছি :) বড় থাম্বস আপ"
Happy,অসাধারণ মোনোগোলিয়ান বিফ এবং সবকিছু... আপনাদের জন্য আশ্চর্যজনক খাদ্যের জন্য ধন্যবাদ।
Happy,আমি এখানে খাবারটি প্রচুরই ভালো করে পছন্দ করছি! হাক্কা ঢাকা শহরের মধ্যে সেরা রেস্টুরেন্টের মধ্যে একটি। অসাধারণ!
Happy,অসাধারণ! খাবারটি ১০/১০ এবং চশমায় আছেন মালিকের ভালো গ্রাহক সেবা করার সম্পর্কে স্বাধীন মন রয়েছে। ভালো কাজ চালিয়ে চলুন
Happy,অম্যাজিং খাবার!!! পূর্ণ মানসিকতার মত সস্তা এবং ভালো সেবা সহ! পূর্ণরূপে ভালবাসি!!
Happy,অসাধারণ খাবার এবং সেবা! ঢাকার সবচেয়ে ভালো ওয়িংস!
Happy,"এই স্থানের বিষয়ে অনেক কিছু শুনেছি এবং এটি পরীক্ষা করতে নির্ধারণ করলাম... আমি বলতে হবে, খাদ্যটি খুবই বৃহত্তম! তাদের ওয়াঙ্গস অসাধারণ এবং গরুর মাংসটি শহরের শ্রেষ্ঠতম। মূল্যটি সত্যিই যোগ্য। নির্ধারণটি নিশ্চিতভাবে দিব আবার"
Happy,"সুস্বাদু খাদ্য, সম্পূর্ণ পরিবেশ এবং শান্তিপূর্ণ সেবা। সন্দেহহীনভাবে একটি অসাধারণ স্থান! 5Â˜…"
Happy,চিকেন উইংসগুলি খুব ভালো লেগেছিল - যদি আমি মুক্তি পাই তাহলে বালতি লোড খেতে পারতাম।
Happy,অসাধারণ এবং মখমখে খাদ্য এবং মূল্যবান!! আবার তা খেতে অপেক্ষা করতে পারি না!
Happy,হয়ে গেছে সুস্বাদু!
Happy,তাদের মুরগির উইংস এবং নুডলস সম্পর্কে আমি ভালবাসি।
Happy,অসাধারণ.... খাদ্যের স্বাদ খুব ভালো...
Happy,"সর্বোত্তম!!! আমি প্ল্যাটার B খেয়েছি। জাম্বো চিকেন রোল আমাকে ভালো শুরু দিয়েছিল এবং তারপরে আসলো... মঙ্গোলিয়ান বিফ, যা অবিশ্বাস্য ছিল!!... কিন্তু চিলি অইস্টার ফিশ আমাকে নিরাশ করেছিল... তবে খাদ্য এবং সেবার ক্ষেত্রে ৫ তারা দিয়ে ভালো দেব।... কিন্তু আমার একটি অনুরোধ আছে... আমি আশা করি আপনারা বিস্তার করবেন... জায়গাটি খুব ছোট!"
Happy,আসলে এটি অসাধারণ খাদ্য। মালিক আমাকে আনন্দিত করলেন এবং আমাকে বিভিন্ন শৈলীতে অবদান দিয়েছিলেন যা এখন প্রচুর রয়েছে না। হাক্কা ঢাকাকে সমস্ত ভালোবাসার সাথে শুভেচ্ছা জানাচ্ছি......
Happy,খাদ্য খুব ভালো ছিল। পারফেক্ট হাক্কা চাইনিজ। (Y) আমি নিশ্চিতভাবে পুনরায় যাচ্ছি। :D
Happy,"খুব ভালো। . . . স্বাদেশী খাদ্য, ভালো সেবা। শুভেচ্ছা!"
Happy,"নুডল এবং চাল বাদে সব মধ্যে তেতো আছে, খাদ্যগুলি খুব সুস্বাদু, মূল্য যোগ্য, সেবা সর্বদা ভালো, রেস্টুরেন্টের ভিতরে চলার জন্য অনেক জায়গা নেই এখনও কিন্তু ভালো খবর হলো এইচডি মাসে ১১ নং রোডে একটি নতুন শাখা খোলা হচ্ছে, অবশ্যই পরামর্শ এবং একটি দরকারী স্থানে ভ্রমণ করুন"
Happy,অসাধারণ খাদ্য এবং সেবা! ... একটি অবশ্যই চেষ্টা করুন রেস্টুরেন্ট! ... ভালো মানের রাখুন!
Happy,উত্কৃষ্ট খাদ্য এবং সুন্দর সেবা!!
Happy,অসাধারণ খাদ্য! নিশ্চিতভাবে শীঘ্রই ফিরে যাব।
Happy,খাদ্য খুব ভালো ছিল। আবার পরিদর্শন করব।
Happy,ভালো স্বাদ...
Happy,অসাধারণ খাদ্য মহান সেবা! এটি সারা ঢাকা এর মধ্যে সবচেয়ে ভালো মাছ।
Happy,বোরহানপুর মসজিদ এর জন্য খাদ্য উপহার দেওয়ার জন্য হাক্কা ঢাকা কে ধন্যবাদ! দ্বারা আপনার জন্য প্রতি সপ্তাহে মসজিদের সাথে বাদাম সবজির সঙ্গে চিংড়ি ডেলিভারি করার জন্য একটি স্থায়ী আদেশ করতে পারি কি? ধন্যবাদ।
Sad,অসাধারণ সেবা সহ খুব ভালো খাদ্য। মঙ্গোলিয়ান বিফ এতেই তেতো কারণ এটি খুব তিক্ত এবং লসুনের সাথে পূর্ণ।
Happy,"আজ রাতে এখানে রাত্রিভোজ আছিল। সুন্দর খাদ্য, মনোহারী পরিবেশ এবং উষ্ণ আতিথেয়তা খুব শীঘ্রই পুনরায় ভিজিট করব। বড় থাম্বস আপ"
Happy,সুপারব! মঙ্গোলিয়ান বিফ এবং সবকিছুতেই জন্যকে ধন্যবাদ।. বিশেষ খাদ্যের জন্য আপনাকে ধন্যবাদ।
Happy,অসাধারণ খাদ্য! আমি নিশ্চিতভাবে শীঘ্রই ফিরে যাব!
Happy,খুব ভালো। পুনরায় পরিদর্শন করব
Happy,"চমৎকার খাদ্য, ভালোবাসা বিদ্যমান মূল্যের জন্য ভালো মানে।"
Happy,খাদ্যটি খুবই সুস্বাদু এবং মখমখে। মূল্য পরিমাণে অসাধারণ! আবার পাবার জন্য অপেক্ষা করতে পারি না!
Happy,খাদ্যের জন্য স্তুতি নিশ্চিত করা হয়। আবার সেবা দিয়ে ক্ষতিগ্রস্ত হয়নি। আশা করি আপনারা আপনার স্বাদ মেটাতে ব্যর্থ হবেন না।
Happy,অসাধারণ! প্রায় আবার ফিরে যাব!
Happy,খাদ্য খুব ভালো ছিল। পালটে আসব।
Happy,ভালো স্বাদ।
Happy,খুব ভালো খাদ্য ভালো সেবা
Happy,মানসম্মত দামে ভালো খাদ্য! সুন্দর পরিবেশ।
Disgust,নির্বাচনের আগের রাতে সুষ্টু শান্তিপূর্ণ ভাবে ভোট বাক্স ভর্তি হলে যা হয়
Disgust,"জনগণ মনের আনন্দে নিজেদের ভোট কাস্ট করে দেশদ্রোহী পেট্রল বোমারুদের নির্বাচনী ফলাফল থেকে উচ্ছেদ করেছে, ইহাই জনগনের মূল আনন্দ, জয় বাংলা!"
Angry,ভেজাল নির্বাচন ।
Happy,"বিএনপি ও রাজাকার সমর্থকরা হেরে গেলে দেশের জন্য ভাল, তাতে আমিও সন্তুষ্টি খুঁজে পাই।"
Angry,"সূক্ষ্ম কারচুপি বলে এতদিন একটা কথার কথা ছিল, এবার তা বাস্তব রূপ পেয়েছে।"
Surprise,"তবে বিজয়ী ও নিকটতম প্রতিদ্বন্দ্বীর মধ্যে ভোটের অস্বাভাবিক ব্যবধান এবং সর্বশেষ অনুষ্ঠিত সংসদ, উপজেলা ও সিটি করপোরেশন নির্বাচনের তুলনায় অনেক বেশি ভোট পড়ায় এ নির্বাচনকে ঘিরে প্রশ্ন উঠেছে।"
Happy,কিন্তু কিছু কিছু লোক এই নির্বাচনের মাধ্যমে আওয়ামিলীগের বিজয় দেখছে
Angry,"ভোটের হার কম হলে দোষ, বেশি হলে দোষ, ভোটের সময় মারামারি না হওয়াটাও দোষের, আসলে সমালোচকরা কী চায় ??"
Disgust,সাত খন্ড রামায়ন পাঠ শেষে আপনি জানতে চান সীতা কার বাপ ???!!
Angry,আপনি কী চান সেটাই আগে ভাবুন?
Angry,"কেৌশল নয়, অপকেৌশল।"
Happy,আ.লীগ অনন্য।
